Nodes,score,level,source_original,RNA_input
STAT1,0.7375241933740578,5,STAT1,1.0368763418899971
STAT2,0.6722340285908975,6,STAT2,-1.6373695611966956
STAT5B,2.2410759909944518,6,STAT5B,-0.3862759459469075
STAT6,-0.6722340285908975,6,STAT6,0.7374877854136713
STEAP3,1.1321284570975683,6,STEAP3,0.8410232225120952
STK24,-0.9372659808333154,6,STK24,-1.0326084268206748
STK38,-1.1021717004165028,5,STK38,-0.24728896353848934
STK4,-0.6650456031865938,5,STK4,-0.7247142667541191
STX1A,1.7548376010515085,5,STX1A,-0.4574288560402004
SUN1,-1.645415452826589,6,SUN1,0.049815179824931013
SUV39H1,0.6785173068548142,2,SUV39H1,0.33721924389288616
TAB1,0.9365404410655551,6,TAB1,0.29785618779999246
TBK1,-1.648625524190575,4,TBK1,-1.0070920190228194
TBL1XR1,-0.6426276411363527,6,TBL1XR1,0.7777046449827237
TCF3,-1.354492195994582,5,TCF3,0.183500472595277
TCOF1,1.127581582050735,6,TCOF1,1.0296798935424862
TFDP1,0.8642394219440414,5,TFDP1,-0.7870099848805442
TGFBR2,-0.9370127033031892,5,TGFBR2,0.9926928507037263
THRA,1.1486858193494767,2,THRA,-0.9060502591264853
TICAM1,-0.7121252371461443,5,TICAM1,0.40775480605084974
TKT,-1.1050139242477055,2,TKT,0.49612835687568724
TNFRSF10B,1.0514310258447397,5,TNFRSF10B,-0.3854519768162377
TOPBP1,0.7618176637749854,4,TOPBP1,-0.2440490351066866
TOPORS,1.5362950353992844,4,TOPORS,0.10094072998980864
TP53,1.5618823374544513,3,TP53,-1.0254170596200585
TP53BP1,1.5362950353992844,4,TP53BP1,-0.03746502230207207
TRAF2,1.232844157833722,5,TRAF2,1.4503755180731035
TRAF3,-1.7643242531932959,5,TRAF3,1.0323180428050351
TRIB3,1.648625524190575,4,TRIB3,0.3782077833458316
TRIM28,0.8238264658855571,3,TRIM28,0.2693381111168987
TRIP11,1.2795420576310759,3,TRIP11,-0.7392293042136454
TSC1,-1.354492195994582,5,TSC1,-0.5578366169955277
TSC2,-1.0636309904100028,5,TSC2,0.18938022270115482
TTK,1.5362950353992844,4,TTK,-0.2753293663089432
TXN,0.8238264658855571,3,TXN,-0.44399636888213107
TYK2,0.8767390760043552,5,TYK2,0.10292442277390594
UBE3A,-1.5362950353992844,4,UBE3A,-0.2642977112950961
ULK1,1.78554563967507,5,ULK1,-1.232428738271978
USP10,1.5362950353992844,4,USP10,0.46389430936933906
VHL,1.5362950353992844,4,VHL,-0.5262221744205937
WWTR1,-1.4206414713187243,5,WWTR1,1.292854962007741
XIAP,-1.3926135314585415,4,XIAP,-0.4622748347011127
XPO1,-1.5362950353992844,4,XPO1,-0.439292553811944
XRCC6,1.8124896181529233,6,XRCC6,0.29915207328769317
YAP1,-1.3027838132731748,5,YAP1,-0.8706414773187466
YWHAB,-1.4156824691737375,6,YWHAB,-0.17365460442622363
YWHAE,-1.6004090667295816,5,YWHAE,0.45725096565689866
YWHAG,-1.6004090667295816,5,YWHAG,0.5842926908446261
YWHAZ,-1.6004090667295816,5,YWHAZ,0.9026801323558388
